X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
166,0,2.159427877,0.702,0.093,0,Fibroblasts,COL5A1
167,0,2.15768821,0.353,0.025,0,Sweat gland cells,PTPRC
168,0,2.154318957,0.771,0.045,0,Vascular endothelial cells,RAMP3
169,0,2.143838308,0.717,0.035,0,Fibroblasts,PDGFRL
170,1.52e-302,2.132409332,0.871,0.097,3.59e-298,Melanocytes,CHCHD6
171,0,2.130702639,0.327,0.021,0,Vascular endothelial cells,STC1
172,0,2.129517686,0.855,0.012,0,Keratinocytes,SERPINB5
173,4.97e-152,2.12766085,0.876,0.211,1.17e-147,Melanocytes,SYNGR1
174,0,2.126845209,0.911,0.215,0,Immune cells,CTSS
175,0,2.120786708,0.705,0.066,0,Vascular endothelial cells,SOX18
176,0,2.115991009,0.869,0.19,0,Vascular endothelial cells,RAMP2
177,0,2.106948349,0.845,0.038,0,Vascular endothelial cells,ADGRL4
178,0,2.102476989,0.537,0.064,0,Immune cells,MIR155HG
179,0,2.097817162,0.831,0.178,0,Fibroblasts,RARRES2
180,0,2.081156067,0.331,0.017,0,Smooth muscle cells,MYH11
181,0,2.073815975,0.81,0.005,0,Immune cells,LST1
182,0,2.038960393,0.633,0.003,0,Immune cells,MS4A6A
183,0,2.037989757,0.459,0.058,0,Immune cells,HLA-DRB5
184,0,2.03635778,0.595,0.06,0,Fibroblasts,TNFAIP6
185,0,2.034070841,0.672,0.021,0,Keratinocytes,CLDN4
186,0,2.030073259,0.825,0.23,0,Vascular endothelial cells,ENG
187,0,2.029518201,0.64,0.037,0,Neural cells,ITGB8
188,0,2.025329432,0.883,0.083,0,Fibroblasts,MXRA8
189,0,2.023389517,0.501,0.184,0,Vascular endothelial cells,SERPINE1
190,0,2.022810359,0.792,0.14,0,Immune cells,STK4
191,0,2.020458927,0.587,0.123,0,Smooth muscle cells,KCNE4
192,4.2e-229,2.019659325,0.665,0.094,9.91e-225,Neural cells,NGFR
193,1.33e-202,2.012107171,0.777,0.157,3.13e-198,Neural cells,GAS7
194,0,2.011444347,0.721,0.085,0,Smooth muscle cells,SYNPO2
195,0,2.008103354,0.794,0.036,0,Vascular endothelial cells,CD93
196,0,2.00630682,0.635,0.074,0,Fibroblasts,SPON2
197,0,1.998782816,0.854,0.011,0,Melanocytes,KIT
198,2.18e-14,1.997457089,0.384,0.248,5.15e-10,Neural cells,TGFBI
199,2.56e-204,1.989849115,0.752,0.135,6.05e-200,Neural cells,PLAT
200,0,1.98767743,0.928,0.202,0,Keratinocytes,KLF5
201,0,1.98705892,0.847,0.011,0,Immune cells,LCP1
202,0,1.984800187,0.764,0.134,0,Smooth muscle cells,PDGFA
203,2.64e-74,1.983241574,0.607,0.213,6.25e-70,Neural cells,BPGM
204,2.2e-111,1.97917585,0.777,0.233,5.2e-107,Neural cells,TNFAIP6
205,0,1.975988366,0.792,0.01,0,Melanocytes,MIA
206,0,1.972966647,0.722,0.167,0,Immune cells,SERPINB9
207,0,1.969215509,0.831,0.231,0,Smooth muscle cells,MCAM
208,0,1.968161042,0.798,0.23,0,Vascular endothelial cells,THBD
209,0,1.967886889,0.657,0.011,0,Neural cells,FOXD3
210,0,1.958797213,0.331,0.003,0,Immune cells,C1QC
211,0,1.958769583,0.26,0.023,0,Smooth muscle cells,CCL8
212,0,1.954462456,0.602,0.087,0,Smooth muscle cells,STEAP4
213,0,1.953777509,0.708,0.056,0,Fibroblasts,LOX
214,0,1.939611383,0.666,0.076,0,Fibroblasts,EFEMP1
215,0,1.931280459,0.885,0.209,0,Fibroblasts,FBLN2
216,9.91e-109,1.922202069,0.583,0.145,2.34e-104,Neural cells,NES
217,0,1.921275597,0.342,0.003,0,Sweat gland cells,AQP5
218,0,1.920197351,0.777,0.044,0,Fibroblasts,OLFML3
219,0,1.909668341,0.846,0.121,0,Vascular endothelial cells,EMCN
220,0,1.907264965,0.702,0.129,0,Vascular endothelial cells,EGFL7
221,0,1.899952414,0.647,0.059,0,Immune cells,GPAT3
222,0,1.897466773,0.772,0.136,0,Lymphatic endothelial cells,PDPN
223,0,1.889764115,0.381,0.017,0,Vascular endothelial cells,CSF3
224,1.45e-115,1.878994604,0.612,0.143,3.44e-111,Neural cells,MATN2
225,0,1.877771679,0.808,0.035,0,Vascular endothelial cells,RNASE1
226,0,1.877007997,0.616,0.039,0,Neural cells,COL9A3
227,0,1.871903991,0.749,0.084,0,Lymphatic endothelial cells,PROX1
228,0,1.871325997,0.289,0.011,0,Keratinocytes,CALML5
229,0,1.863785592,0.775,0.008,0,Melanocytes,GPR143
230,0,1.860277201,0.471,0.071,0,Immune cells,IL1RN
231,0,1.85840256,0.775,0.194,0,Fibroblasts,FBN1
232,3.32e-66,1.855718971,0.426,0.108,7.84e-62,Neural cells,NOV
233,0,1.855084665,0.649,0.013,0,Immune cells,FCGR2A
234,0,1.848595609,0.818,0.117,0,Fibroblasts,TMEM176B
235,0,1.846205416,0.831,0.188,0,Fibroblasts,SOD3
236,5.22e-99,1.844856795,0.583,0.16,1.23e-94,Neural cells,GPC1
237,0,1.84389616,0.84,0.05,0,Vascular endothelial cells,ECSCR
238,0,1.842116687,0.784,0.157,0,Smooth muscle cells,NOTCH3
239,0,1.841486857,0.755,0.088,0,Fibroblasts,RCN3
240,1.91e-249,1.840491323,0.787,0.093,4.52e-245,Melanocytes,STXBP6
241,0,1.840136492,0.478,0.001,0,Immune cells,CD1C
242,0,1.833683047,0.376,0.006,0,Neural cells,PCSK2
243,0,1.81690349,0.6,0.071,0,Immune cells,CXCR4
244,0,1.815148403,0.564,0.126,0,Fibroblasts,ELN
245,0,1.802062855,0.774,0.006,0,Immune cells,ITGB2
246,0,1.801502492,0.304,0.035,0,Fibroblasts,SFRP4
